Player,Team,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Trevor Purdy,San Diego Growlers,1,3,3.0,0,0.0,2,2.0,5,5.0,1,1.0,100.0,11,11.0,93,93,10,10
Travis Dunn,San Diego Growlers,10,22,2.2,36,3.6,1,0.1,42,4.2,260,26.0,94.2,201,20.1,2387,239,1444,144
Ethan Li,San Diego Growlers,1,2,2.0,1,1.0,1,1.0,4,4.0,8,8.0,100.0,14,14.0,77,77,47,47
Jonathan Nethercutt,San Diego Growlers,1,1,1.0,4,4.0,0,0.0,4,4.0,33,33.0,97.1,19,19.0,54,54,247,247
Lior Givol,San Diego Growlers,10,28,2.8,16,1.6,3,0.3,36,3.6,115,11.5,92.0,187,18.7,1574,157,1108,111
Nate Pettyjohn,San Diego Growlers,8,24,3.0,8,1.0,4,0.5,28,3.5,51,6.38,92.7,122,15.25,1165,146,399,50
Jesse Cohen,San Diego Growlers,7,22,3.14,5,0.71,2,0.29,23,3.29,54,7.71,91.5,109,15.57,1039,148,249,36
Nolan Schmalenberger,San Diego Growlers,1,0,0.0,2,2.0,1,1.0,3,3.0,6,6.0,100.0,12,12.0,17,17,52,52
Jonathan Helton,San Diego Growlers,10,20,2.0,31,3.1,5,0.5,24,2.4,259,25.9,90.2,198,19.8,1078,108,2095,210
Tim Okita,San Diego Growlers,10,8,0.8,24,2.4,2,0.2,24,2.4,337,33.7,98.0,173,17.3,731,73,1527,153
Hunter Corbett,San Diego Growlers,9,14,1.56,9,1.0,6,0.67,21,2.33,80,8.89,93.0,145,16.11,825,92,531,59
Khalif El-Salaam,San Diego Growlers,7,6,0.86,16,2.29,10,1.43,16,2.29,71,10.14,85.5,149,21.29,633,90,587,84
Steven Milardovich,San Diego Growlers,9,1,0.11,9,1.0,16,1.78,17,1.89,111,12.33,92.5,158,17.56,564,63,859,95
Jordan Queckboerner,San Diego Growlers,9,7,0.78,1,0.11,11,1.22,13,1.44,21,2.33,80.8,107,11.89,597,66,51,6
Will Turner,San Diego Growlers,10,3,0.3,9,0.9,10,1.0,14,1.4,94,9.4,94.0,160,16.0,261,26,602,60
Jeffrey Silverman,San Diego Growlers,9,3,0.33,3,0.33,6,0.67,12,1.33,17,1.89,100.0,108,12.0,142,16,141,16
Stefan Samu,San Diego Growlers,5,3,0.6,0,0.0,3,0.6,6,1.2,14,2.8,100.0,55,11.0,224,45,109,22
Kyle Rubin,San Diego Growlers,10,9,0.9,7,0.7,1,0.1,12,1.2,100,10.0,96.2,145,14.5,562,56,499,50
Paul Lally,San Diego Growlers,8,11,1.38,13,1.63,4,0.5,9,1.13,273,34.13,94.1,144,18.0,780,98,1687,211
Michael Tran,San Diego Growlers,10,6,0.6,12,1.2,5,0.5,10,1.0,186,18.6,95.4,157,15.7,371,37,974,97
Joey Huppert,San Diego Growlers,1,1,1.0,0,0.0,0,0.0,1,1.0,3,3.0,100.0,13,13.0,50,50,6,6
Daniel Mah,San Diego Growlers,1,1,1.0,0,0.0,0,0.0,1,1.0,2,2.0,100.0,12,12.0,18,18,4,4
Michael Huang,San Diego Growlers,1,1,1.0,0,0.0,0,0.0,1,1.0,6,6.0,100.0,13,13.0,54,54,0,0
Nathan Bridges,San Diego Growlers,1,2,2.0,0,0.0,0,0.0,1,1.0,9,9.0,90.0,11,11.0,61,61,44,44
Bryce Lozinski,San Diego Growlers,5,2,0.4,1,0.2,1,0.2,4,0.8,11,2.2,100.0,48,9.6,95,19,69,14
Dominic Leggio,San Diego Growlers,10,2,0.2,4,0.4,8,0.8,8,0.8,163,16.3,97.0,179,17.9,252,25,833,83
Scott Radlauer,San Diego Growlers,9,3,0.33,1,0.11,3,0.33,6,0.67,12,1.33,92.3,100,11.11,193,21,157,17
Reggie Sung,San Diego Growlers,8,5,0.63,2,0.25,1,0.13,5,0.63,12,1.5,85.7,88,11.0,349,44,106,13
Greg Cohen,San Diego Growlers,2,1,0.5,1,0.5,2,1.0,1,0.5,6,3.0,75.0,29,14.5,61,31,101,51
Maxwell Hume,San Diego Growlers,10,2,0.2,2,0.2,6,0.6,4,0.4,28,2.8,90.3,140,14.0,246,25,140,14
Zac Schakner,San Diego Growlers,11,3,0.27,2,0.18,6,0.55,1,0.09,42,3.82,82.4,131,11.91,238,22,221,20
Wes Groth,San Diego Growlers,8,6,0.75,2,0.25,2,0.25,0,0.0,27,3.38,75.0,70,8.75,411,51,263,33
Michael Dehnbostel,San Diego Growlers,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,10,10.0,9,9,22,22
Clark Wang,San Diego Growlers,2,0,0.0,0,0.0,0,0.0,0,0.0,4,2.0,100.0,16,8.0,6,3,11,6
Ryan Lacy,San Diego Growlers,1,0,0.0,0,0.0,0,0.0,-1,-1.0,3,3.0,75.0,12,12.0,15,15,0,0
Mark Mendelevitz,San Diego Growlers,2,0,0.0,0,0.0,0,0.0,-2,-1.0,5,2.5,71.4,9,4.5,1,1,38,19
